ipc_class_symbol,last_ipc_version,NbAppln
"A01B   1/00",2010-01-01,1271
"A01B   1/02",2006-01-01,2639
"A01B   1/04",2006-01-01,349
"A01B   1/06",2006-01-01,1465
"A01B   1/08",2006-01-01,475
"A01B   1/10",2006-01-01,202
"A01B   1/12",2006-01-01,144
"A01B   1/14",2006-01-01,311
"A01B   1/16",2006-01-01,1196
"A01B   1/18",2006-01-01,398
"A01B   1/20",2006-01-01,692
"A01B   1/22",2006-01-01,1401
"A01B   1/24",2006-01-01,435
"A01B   3/00",2006-01-01,277
"A01B   3/02",2006-01-01,225
"A01B   3/04",2006-01-01,131
"A01B   3/06",2006-01-01,47
"A01B   3/08",2006-01-01,61
"A01B   3/10",2006-01-01,75
"A01B   3/12",2006-01-01,133
"A01B   3/14",2006-01-01,74
"A01B   3/16",2006-01-01,141
"A01B   3/18",2006-01-01,484
"A01B   3/20",2006-01-01,87
"A01B   3/22",2006-01-01,11
"A01B   3/24",2006-01-01,307
"A01B   3/26",2006-01-01,304
"A01B   3/28",2006-01-01,155
"A01B   3/30",2006-01-01,271
"A01B   3/32",2006-01-01,43
"A01B   3/34",2006-01-01,51
"A01B   3/36",2006-01-01,491
"A01B   3/38",2006-01-01,418
"A01B   3/40",2006-01-01,332
"A01B   3/42",2006-01-01,771
"A01B   3/421",2006-01-01,637
"A01B   3/426",2006-01-01,365
"A01B   3/44",2006-01-01,202
"A01B   3/46",2006-01-01,1049
"A01B   3/50",2006-01-01,310
"A01B   3/52",2006-01-01,42
"A01B   3/54",2006-01-01,81
"A01B   3/56",2006-01-01,143
"A01B   3/58",2006-01-01,108
"A01B   3/60",2006-01-01,18
"A01B   3/62",2006-01-01,48
"A01B   3/64",2006-01-01,131
"A01B   3/66",2006-01-01,85
"A01B   3/68",2006-01-01,440
"A01B   3/70",2006-01-01,32
"A01B   3/72",2006-01-01,92
"A01B   3/74",2006-01-01,136
"A01B   5/00",2006-01-01,314
"A01B   5/02",2006-01-01,18
"A01B   5/04",2006-01-01,102
"A01B   5/06",2006-01-01,118
"A01B   5/08",2006-01-01,151
"A01B   5/10",2006-01-01,41
"A01B   5/12",2006-01-01,94
"A01B   5/14",2006-01-01,200
"A01B   5/16",2006-01-01,39
"A01B   7/00",2006-01-01,415
"A01B   9/00",2006-01-01,1087
"A01B  11/00",2006-01-01,609
"A01B  13/00",2006-01-01,1231
"A01B  13/02",2006-01-01,2356
"A01B  13/04",2006-01-01,523
"A01B  13/06",2006-01-01,462
"A01B  13/08",2006-01-01,1873
"A01B  13/10",2006-01-01,131
"A01B  13/12",2006-01-01,52
"A01B  13/14",2006-01-01,339
"A01B  13/16",2006-01-01,1425
"A01B  15/00",2006-01-01,1135
"A01B  15/02",2006-01-01,1260
"A01B  15/04",2006-01-01,678
"A01B  15/06",2006-01-01,588
"A01B  15/08",2006-01-01,526
"A01B  15/10",2006-01-01,194
"A01B  15/12",2006-01-01,296
"A01B  15/14",2006-01-01,1367
"A01B  15/16",2006-01-01,632
"A01B  15/18",2006-01-01,507
"A01B  15/20",2006-01-01,390
"A01B  17/00",2006-01-01,1843
"A01B  19/00",2006-01-01,330
"A01B  19/02",2006-01-01,769
"A01B  19/04",2006-01-01,214
"A01B  19/06",2006-01-01,705
"A01B  19/08",2006-01-01,186
"A01B  19/10",2006-01-01,178
"A01B  21/00",2009-01-01,341
"A01B  21/02",2006-01-01,128
"A01B  21/04",2006-01-01,535
"A01B  21/06",2006-01-01,184
"A01B  21/08",2006-01-01,1752
"A01B  23/00",2006-01-01,306
"A01B  23/02",2006-01-01,1115
"A01B  23/04",2006-01-01,1062
"A01B  23/06",2006-01-01,579
"A01B  25/00",2006-01-01,300
"A01B  27/00",2006-01-01,565
"A01B  29/00",2006-01-01,758
"A01B  29/02",2006-01-01,245
"A01B  29/04",2006-01-01,1831
"A01B  29/06",2006-01-01,579
"A01B  31/00",2006-01-01,735
"A01B  33/00",2010-01-01,1904
"A01B  33/02",2006-01-01,5130
"A01B  33/04",2006-01-01,346
"A01B  33/06",2006-01-01,2562
"A01B  33/08",2006-01-01,8184
"A01B  33/10",2006-01-01,2661
"A01B  33/12",2006-01-01,3999
"A01B  33/14",2006-01-01,2330
"A01B  33/16",2006-01-01,1455
"A01B  35/00",2009-01-01,3163
"A01B  35/02",2006-01-01,661
"A01B  35/04",2006-01-01,1860
"A01B  35/06",2006-01-01,447
"A01B  35/08",2006-01-01,415
"A01B  35/10",2006-01-01,357
"A01B  35/12",2006-01-01,209
"A01B  35/14",2006-01-01,293
"A01B  35/16",2006-01-01,632
"A01B  35/18",2006-01-01,522
"A01B  35/20",2006-01-01,441
"A01B  35/22",2006-01-01,1119
"A01B  35/24",2006-01-01,435
"A01B  35/26",2006-01-01,822
"A01B  35/28",2006-01-01,447
"A01B  35/30",2006-01-01,281
"A01B  35/32",2006-01-01,213
"A01B  37/00",2006-01-01,407
"A01B  39/00",2009-01-01,465
"A01B  39/02",2006-01-01,209
"A01B  39/04",2006-01-01,298
"A01B  39/06",2006-01-01,201
"A01B  39/08",2006-01-01,1280
"A01B  39/10",2006-01-01,262
"A01B  39/12",2006-01-01,314
"A01B  39/14",2006-01-01,685
"A01B  39/16",2006-01-01,1483
"A01B  39/18",2006-01-01,1887
"A01B  39/19",2006-01-01,262
"A01B  39/20",2006-01-01,337
"A01B  39/22",2006-01-01,523
"A01B  39/24",2006-01-01,177
"A01B  39/26",2006-01-01,393
"A01B  39/28",2006-01-01,77
"A01B  41/00",2006-01-01,240
"A01B  41/02",2006-01-01,258
"A01B  41/04",2006-01-01,622
"A01B  41/06",2006-01-01,256
"A01B  43/00",2006-01-01,1576
"A01B  45/00",2006-01-01,1135
"A01B  45/02",2006-01-01,1704
"A01B  45/04",2006-01-01,1073
"A01B  47/00",2006-01-01,122
"A01B  49/00",2006-01-01,1581
"A01B  49/02",2006-01-01,4191
"A01B  49/04",2006-01-01,2330
"A01B  49/06",2006-01-01,4559
"A01B  51/00",2006-01-01,1294
"A01B  51/02",2006-01-01,2401
"A01B  51/04",2006-01-01,735
"A01B  59/00",2006-01-01,1956
"A01B  59/02",2006-01-01,117
"A01B  59/04",2006-01-01,2084
"A01B  59/041",2006-01-01,766
"A01B  59/042",2006-01-01,2982
"A01B  59/043",2006-01-01,3540
"A01B  59/044",2006-01-01,300
"A01B  59/046",2006-01-01,124
"A01B  59/048",2006-01-01,856
"A01B  59/06",2006-01-01,3056
"A01B  61/00",2009-01-01,723
"A01B  61/02",2006-01-01,839
"A01B  61/04",2006-01-01,2161
"A01B  63/00",2009-01-01,8033
"A01B  63/02",2006-01-01,1214
"A01B  63/04",2006-01-01,891
"A01B  63/06",2006-01-01,360
"A01B  63/08",2006-01-01,211
"A01B  63/10",2006-01-01,9703
"A01B  63/102",2006-01-01,314
"A01B  63/104",2006-01-01,120
"A01B  63/106",2006-01-01,56
"A01B  63/108",2006-01-01,354
"A01B  63/11",2006-01-01,322
"A01B  63/111",2006-01-01,2616
"A01B  63/112",2006-01-01,1626
"A01B  63/114",2006-01-01,1734
"A01B  63/118",2006-01-01,143
"A01B  63/12",2006-01-01,135
"A01B  63/14",2006-01-01,562
"A01B  63/16",2006-01-01,1981
"A01B  63/18",2006-01-01,194
"A01B  63/20",2006-01-01,34
"A01B  63/22",2006-01-01,876
"A01B  63/24",2006-01-01,817
"A01B  63/26",2006-01-01,519
"A01B  63/28",2006-01-01,187
"A01B  63/30",2006-01-01,20
"A01B  63/32",2006-01-01,894
"A01B  67/00",2006-01-01,446
"A01B  69/00",2006-01-01,9065
"A01B  69/02",2006-01-01,1923
"A01B  69/04",2006-01-01,1522
"A01B  69/06",2006-01-01,329
"A01B  69/08",2006-01-01,309
"A01B  71/00",2006-01-01,2455
"A01B  71/02",2006-01-01,2305
"A01B  71/04",2006-01-01,312
"A01B  71/06",2006-01-01,2134
"A01B  71/08",2006-01-01,1010
"A01B  73/00",2010-01-01,2113
"A01B  73/02",2006-01-01,871
"A01B  73/04",2006-01-01,2043
"A01B  73/06",2006-01-01,1185
"A01B  75/00",2006-01-01,872
"A01B  76/00",2006-01-01,204
"A01B  77/00",2006-01-01,796
"A01B  79/00",2010-01-01,3302
"A01B  79/02",2006-01-01,2583
"A01C   1/00",2010-01-01,8114
"A01C   1/02",2006-01-01,2111
"A01C   1/04",2006-01-01,3889
"A01C   1/06",2006-01-01,5803
"A01C   1/08",2006-01-01,2419
"A01C   3/00",2006-01-01,1605
"A01C   3/02",2006-01-01,2117
"A01C   3/04",2006-01-01,644
"A01C   3/06",2006-01-01,2752
"A01C   3/08",2006-01-01,494
"A01C   5/00",2006-01-01,975
"A01C   5/02",2006-01-01,1555
"A01C   5/04",2006-01-01,1739
"A01C   5/06",2006-01-01,6801
"A01C   5/08",2006-01-01,392
"A01C   7/00",2010-01-01,6625
"A01C   7/02",2006-01-01,2114
"A01C   7/04",2006-01-01,5384
"A01C   7/06",2006-01-01,2800
"A01C   7/08",2006-01-01,6802
"A01C   7/10",2006-01-01,1176
"A01C   7/12",2006-01-01,2185
"A01C   7/14",2006-01-01,325
"A01C   7/16",2006-01-01,2301
"A01C   7/18",2006-01-01,2541
"A01C   7/20",2006-01-01,7112
"A01C   9/00",2006-01-01,1177
"A01C   9/02",2006-01-01,673
"A01C   9/04",2006-01-01,474
"A01C   9/06",2006-01-01,217
"A01C   9/08",2006-01-01,465
"A01C  11/00",2010-01-01,4610
"A01C  11/02",2006-01-01,31878
"A01C  11/04",2006-01-01,277
"A01C  13/00",2006-01-01,412
"A01C  14/00",2009-01-01,372
"A01C  15/00",2010-01-01,10151
"A01C  15/02",2006-01-01,1704
"A01C  15/04",2006-01-01,2103
"A01C  15/06",2006-01-01,487
"A01C  15/08",2006-01-01,546
"A01C  15/10",2006-01-01,175
"A01C  15/12",2006-01-01,676
"A01C  15/14",2006-01-01,138
"A01C  15/16",2006-01-01,1932
"A01C  15/18",2006-01-01,675
"A01C  17/00",2006-01-01,4998
"A01C  19/00",2006-01-01,1513
"A01C  19/02",2006-01-01,711
"A01C  19/04",2006-01-01,774
"A01C  21/00",2010-01-01,4476
"A01C  23/00",2009-01-01,4139
"A01C  23/02",2006-01-01,3219
"A01C  23/04",2006-01-01,2793
"A01D   1/00",2006-01-01,402
"A01D   1/02",2006-01-01,186
"A01D   1/04",2006-01-01,427
"A01D   1/06",2006-01-01,252
"A01D   1/08",2006-01-01,288
"A01D   1/10",2006-01-01,33
"A01D   1/12",2006-01-01,82
"A01D   1/14",2006-01-01,290
"A01D   3/00",2006-01-01,45
"A01D   3/02",2006-01-01,140
"A01D   3/04",2006-01-01,36
"A01D   3/06",2006-01-01,50
"A01D   3/08",2006-01-01,44
"A01D   5/00",2006-01-01,28
"A01D   7/00",2006-01-01,695
"A01D   7/02",2006-01-01,211
"A01D   7/04",2006-01-01,163
"A01D   7/06",2006-01-01,444
"A01D   7/08",2006-01-01,89
"A01D   7/10",2006-01-01,406
"A01D   9/00",2006-01-01,195
"A01D   9/02",2006-01-01,113
"A01D   9/04",2006-01-01,32
"A01D   9/06",2006-01-01,49
"A01D  11/00",2006-01-01,280
"A01D  11/02",2006-01-01,222
"A01D  11/04",2006-01-01,84
"A01D  11/06",2006-01-01,135
"A01D  13/00",2006-01-01,1457
"A01D  15/00",2006-01-01,122
"A01D  15/02",2006-01-01,87
"A01D  15/04",2006-01-01,519
"A01D  17/00",2006-01-01,1414
"A01D  17/02",2006-01-01,306
"A01D  17/04",2006-01-01,128
"A01D  17/06",2006-01-01,509
"A01D  17/08",2006-01-01,261
"A01D  17/10",2006-01-01,1490
"A01D  17/12",2006-01-01,87
"A01D  17/14",2006-01-01,222
"A01D  17/16",2006-01-01,198
"A01D  17/18",2006-01-01,175
"A01D  17/20",2006-01-01,29
"A01D  17/22",2006-01-01,107
"A01D  19/00",2006-01-01,283
"A01D  19/02",2006-01-01,223
"A01D  19/04",2006-01-01,139
"A01D  19/06",2006-01-01,249
"A01D  19/08",2006-01-01,33
"A01D  19/10",2006-01-01,204
"A01D  19/12",2006-01-01,139
"A01D  19/14",2006-01-01,217
"A01D  19/16",2006-01-01,249
"A01D  19/18",2006-01-01,17
"A01D  21/00",2006-01-01,288
"A01D  21/02",2006-01-01,45
"A01D  21/04",2006-01-01,251
"A01D  23/00",2006-01-01,224
"A01D  23/02",2006-01-01,1673
"A01D  23/04",2006-01-01,900
"A01D  23/06",2006-01-01,439
"A01D  25/00",2006-01-01,1274
"A01D  25/02",2006-01-01,630
"A01D  25/04",2006-01-01,1471
"A01D  27/00",2006-01-01,1212
"A01D  27/02",2006-01-01,451
"A01D  27/04",2006-01-01,592
"A01D  29/00",2006-01-01,905
"A01D  31/00",2006-01-01,629
"A01D  31/02",2006-01-01,98
"A01D  33/00",2006-01-01,1341
"A01D  33/02",2006-01-01,604
"A01D  33/04",2006-01-01,590
"A01D  33/06",2006-01-01,776
"A01D  33/08",2006-01-01,2374
"A01D  33/10",2006-01-01,1152
"A01D  33/12",2006-01-01,451
"A01D  33/14",2006-01-01,404
"A01D  34/00",2010-01-01,4075
"A01D  34/01",2006-01-01,214
"A01D  34/02",2006-01-01,760
"A01D  34/03",2006-01-01,4503
"A01D  34/04",2006-01-01,488
"A01D  34/06",2006-01-01,389
"A01D  34/07",2006-01-01,259
"A01D  34/08",2006-01-01,699
"A01D  34/10",2006-01-01,696
"A01D  34/125",2006-01-01,206
"A01D  34/13",2006-01-01,1499
"A01D  34/135",2006-01-01,213
"A01D  34/14",2006-01-01,463
"A01D  34/16",2006-01-01,298
"A01D  34/17",2006-01-01,453
"A01D  34/18",2006-01-01,497
"A01D  34/20",2006-01-01,144
"A01D  34/22",2006-01-01,71
"A01D  34/23",2006-01-01,105
"A01D  34/24",2006-01-01,2948
"A01D  34/26",2006-01-01,407
"A01D  34/27",2006-01-01,203
"A01D  34/28",2006-01-01,934
"A01D  34/30",2006-01-01,2089
"A01D  34/32",2006-01-01,106
"A01D  34/33",2006-01-01,196
"A01D  34/34",2006-01-01,113
"A01D  34/36",2006-01-01,10
"A01D  34/37",2006-01-01,38
"A01D  34/38",2006-01-01,208
"A01D  34/40",2006-01-01,107
"A01D  34/404",2006-01-01,166
"A01D  34/408",2006-01-01,7
"A01D  34/412",2006-01-01,308
"A01D  34/416",2006-01-01,2374
"A01D  34/42",2006-01-01,1476
"A01D  34/43",2006-01-01,715
"A01D  34/44",2006-01-01,424
"A01D  34/46",2006-01-01,146
"A01D  34/47",2006-01-01,807
"A01D  34/49",2006-01-01,199
"A01D  34/52",2006-01-01,682
"A01D  34/53",2006-01-01,380
"A01D  34/535",2006-01-01,482
"A01D  34/54",2006-01-01,457
"A01D  34/56",2006-01-01,161
"A01D  34/57",2006-01-01,29
"A01D  34/58",2006-01-01,151
"A01D  34/60",2006-01-01,73
"A01D  34/62",2006-01-01,912
"A01D  34/63",2006-01-01,5425
"A01D  34/64",2006-01-01,3345
"A01D  34/66",2006-01-01,4035
"A01D  34/67",2006-01-01,538
"A01D  34/68",2006-01-01,6615
"A01D  34/685",2006-01-01,292
"A01D  34/69",2006-01-01,334
"A01D  34/695",2006-01-01,213
"A01D  34/71",2006-01-01,523
"A01D  34/73",2006-01-01,5196
"A01D  34/74",2006-01-01,1390
"A01D  34/76",2006-01-01,2647
"A01D  34/77",2006-01-01,44
"A01D  34/78",2006-01-01,561
"A01D  34/80",2006-01-01,117
"A01D  34/81",2006-01-01,651
"A01D  34/82",2006-01-01,1858
"A01D  34/83",2006-01-01,610
"A01D  34/835",2006-01-01,439
"A01D  34/84",2006-01-01,1083
"A01D  34/86",2006-01-01,1863
"A01D  34/90",2006-01-01,1190
"A01D  37/00",2006-01-01,1769
"A01D  37/02",2006-01-01,305
"A01D  37/04",2006-01-01,117
"A01D  37/06",2006-01-01,8
"A01D  39/00",2006-01-01,766
"A01D  41/00",2006-01-01,5268
"A01D  41/02",2006-01-01,4103
"A01D  41/04",2006-01-01,691
"A01D  41/06",2006-01-01,664
"A01D  41/08",2006-01-01,516
