ipc_code	ancestor	parent	ipc_version
A01B   1/00		A	2016.01
A01B   1/02	A01B0001000000	A	2016.01
A01B   1/04	A01B0001020000	A	2016.01
A01B   1/06	A01B0001000000	A	2016.01
A01B   1/08	A01B0001060000	A	2016.01
A01B   1/10	A01B0001060000	A	2016.01
A01B   1/12	A01B0001060000	A	2016.01
A01B   1/14	A01B0001060000	A	2016.01
A01B   1/16	A01B0001000000	A	2016.01
A01B   1/18	A01B0001160000	A	2016.01
A01B   1/20	A01B0001000000	A	2016.01
A01B   1/22	A01B0001000000	A	2016.01
A01B   1/24	A01B0001000000	A	2016.01
A01B   3/00		A	2016.01
A01B   3/02	A01B0003000000	A	2016.01
A01B   3/04	A01B0003000000	A	2016.01
A01B   3/06	A01B0003040000	A	2016.01
A01B   3/08	A01B0003060000	A	2016.01
A01B   3/10	A01B0003060000	A	2016.01
A01B   3/12	A01B0003060000	A	2016.01
A01B   3/14	A01B0003060000	A	2016.01
A01B   3/16	A01B0003040000	A	2016.01
A01B   3/18	A01B0003160000	A	2016.01
A01B   3/20	A01B0003160000	A	2016.01
A01B   3/22	A01B0003160000	A	2016.01
A01B   3/24	A01B0003000000	A	2016.01
A01B   3/26	A01B0003240000	A	2016.01
A01B   3/28	A01B0003240000	A	2016.01
A01B   3/30	A01B0003280000	A	2016.01
A01B   3/32	A01B0003280000	A	2016.01
A01B   3/34	A01B0003280000	A	2016.01
A01B   3/36	A01B0003000000	A	2016.01
A01B   3/38	A01B0003360000	A	2016.01
A01B   3/40	A01B0003360000	A	2016.01
A01B   3/42	A01B0003400000	A	2016.01
A01B   3/421	A01B0003420000	A	2016.01
A01B   3/426	A01B0003420000	A	2016.01
A01B   3/44	A01B0003400000	A	2016.01
A01B   3/46	A01B0003000000	A	2016.01
A01B   3/50	A01B0003000000	A	2016.01
A01B   3/52	A01B0003500000	A	2016.01
A01B   3/54	A01B0003520000	A	2016.01
A01B   3/56	A01B0003520000	A	2016.01
A01B   3/58	A01B0003500000	A	2016.01
A01B   3/60	A01B0003580000	A	2016.01
A01B   3/62	A01B0003600000	A	2016.01
A01B   3/64	A01B0003000000	A	2016.01
A01B   3/66	A01B0003640000	A	2016.01
A01B   3/68	A01B0003640000	A	2016.01
A01B   3/70	A01B0003680000	A	2016.01
A01B   3/72	A01B0003640000	A	2016.01
A01B   3/74	A01B0003000000	A	2016.01
A01B   5/00		A	2016.01
A01B   5/02	A01B0005000000	A	2016.01
A01B   5/04	A01B0005000000	A	2016.01
A01B   5/06	A01B0005040000	A	2016.01
A01B   5/08	A01B0005040000	A	2016.01
A01B   5/10	A01B0005000000	A	2016.01
A01B   5/12	A01B0005100000	A	2016.01
A01B   5/14	A01B0005100000	A	2016.01
A01B   5/16	A01B0005000000	A	2016.01
A01B   7/00		A	2016.01
A01B   9/00		A	2016.01
A01B  11/00		A	2016.01
A01B  13/00		A	2016.01
A01B  13/02	A01B0013000000	A	2016.01
A01B  13/04	A01B0013000000	A	2016.01
A01B  13/06	A01B0013040000	A	2016.01
A01B  13/08	A01B0013000000	A	2016.01
A01B  13/10	A01B0013080000	A	2016.01
A01B  13/12	A01B0013100000	A	2016.01
A01B  13/14	A01B0013000000	A	2016.01
A01B  13/16	A01B0013000000	A	2016.01
A01B  15/00		A	2016.01
A01B  15/02	A01B0015000000	A	2016.01
A01B  15/04	A01B0015020000	A	2016.01
A01B  15/06	A01B0015040000	A	2016.01
A01B  15/08	A01B0015020000	A	2016.01
A01B  15/10	A01B0015080000	A	2016.01
A01B  15/12	A01B0015000000	A	2016.01
A01B  15/14	A01B0015000000	A	2016.01
A01B  15/16	A01B0015000000	A	2016.01
A01B  15/18	A01B0015000000	A	2016.01
A01B  15/20	A01B0015000000	A	2016.01
A01B  17/00		A	2016.01
A01B  19/00		A	2016.01
A01B  19/02	A01B0019000000	A	2016.01
A01B  19/04	A01B0019020000	A	2016.01
A01B  19/06	A01B0019020000	A	2016.01
A01B  19/08	A01B0019000000	A	2016.01
A01B  19/10	A01B0019000000	A	2016.01
A01B  21/00		A	2016.01
A01B  21/02	A01B0021000000	A	2016.01
A01B  21/04	A01B0021020000	A	2016.01
A01B  21/06	A01B0021020000	A	2016.01
A01B  21/08	A01B0021000000	A	2016.01
A01B  23/00		A	2016.01
A01B  23/02	A01B0023000000	A	2016.01
A01B  23/04	A01B0023000000	A	2016.01
A01B  23/06	A01B0023000000	A	2016.01
A01B  25/00		A	2016.01
A01B  27/00		A	2016.01
A01B  29/00		A	2016.01
A01B  29/02	A01B0029000000	A	2016.01
A01B  29/04	A01B0029000000	A	2016.01
A01B  29/06	A01B0029000000	A	2016.01
A01B  31/00		A	2016.01
A01B  33/00		A	2016.01
A01B  33/02	A01B0033000000	A	2016.01
A01B  33/04	A01B0033000000	A	2016.01
A01B  33/06	A01B0033000000	A	2016.01
A01B  33/08	A01B0033000000	A	2016.01
A01B  33/10	A01B0033080000	A	2016.01
A01B  33/12	A01B0033080000	A	2016.01
