ipc_class_symbol,last_ipc_version,NbAppln
A01B,2010-01-01,4436
A01B   1/00,2010-01-01,1488
A01B   1/02,2006-01-01,3167
A01B   1/04,2006-01-01,434
A01B   1/06,2006-01-01,1584
A01B   1/08,2006-01-01,605
A01B   1/10,2006-01-01,220
A01B   1/12,2006-01-01,184
A01B   1/14,2006-01-01,393
A01B   1/16,2006-01-01,1291
A01B   1/18,2006-01-01,430
A01B   1/20,2006-01-01,909
A01B   1/22,2006-01-01,1576
A01B   1/24,2006-01-01,462
A01B   3/00,2006-01-01,339
A01B   3/02,2006-01-01,254
A01B   3/04,2006-01-01,140
A01B   3/06,2006-01-01,52
A01B   3/08,2006-01-01,63
A01B   3/10,2006-01-01,76
A01B   3/12,2006-01-01,133
A01B   3/14,2006-01-01,75
A01B   3/16,2006-01-01,144
A01B   3/18,2006-01-01,486
A01B   3/20,2006-01-01,88
A01B   3/22,2006-01-01,11
A01B   3/24,2006-01-01,343
A01B   3/26,2006-01-01,324
A01B   3/28,2006-01-01,168
A01B   3/30,2006-01-01,285
A01B   3/32,2006-01-01,44
A01B   3/34,2006-01-01,53
A01B   3/36,2006-01-01,520
A01B   3/38,2006-01-01,435
A01B   3/40,2006-01-01,342
A01B   3/42,2006-01-01,815
A01B   3/421,2006-01-01,641
A01B   3/426,2006-01-01,372
A01B   3/44,2006-01-01,202
A01B   3/46,2006-01-01,1114
A01B   3/50,2006-01-01,329
A01B   3/52,2006-01-01,50
A01B   3/54,2006-01-01,87
A01B   3/56,2006-01-01,147
A01B   3/58,2006-01-01,113
A01B   3/60,2006-01-01,19
A01B   3/62,2006-01-01,48
A01B   3/64,2006-01-01,139
A01B   3/66,2006-01-01,86
A01B   3/68,2006-01-01,442
A01B   3/70,2006-01-01,32
A01B   3/72,2006-01-01,92
A01B   3/74,2006-01-01,150
A01B   5/00,2006-01-01,378
A01B   5/02,2006-01-01,22
A01B   5/04,2006-01-01,140
A01B   5/06,2006-01-01,122
A01B   5/08,2006-01-01,162
A01B   5/10,2006-01-01,47
A01B   5/12,2006-01-01,95
A01B   5/14,2006-01-01,201
A01B   5/16,2006-01-01,37
A01B   7/00,2006-01-01,500
A01B   9/00,2006-01-01,1128
A01B  11/00,2006-01-01,636
A01B  13/00,2006-01-01,1333
A01B  13/02,2006-01-01,2619
A01B  13/04,2006-01-01,537
A01B  13/06,2006-01-01,467
A01B  13/08,2006-01-01,2110
A01B  13/10,2006-01-01,137
A01B  13/12,2006-01-01,61
A01B  13/14,2006-01-01,371
A01B  13/16,2006-01-01,1501
A01B  15/00,2006-01-01,1348
A01B  15/02,2006-01-01,1395
A01B  15/04,2006-01-01,756
A01B  15/06,2006-01-01,701
A01B  15/08,2006-01-01,557
A01B  15/10,2006-01-01,214
A01B  15/12,2006-01-01,303
A01B  15/14,2006-01-01,1458
A01B  15/16,2006-01-01,692
A01B  15/18,2006-01-01,560
A01B  15/20,2006-01-01,437
A01B  17/00,2006-01-01,1921
A01B  19/00,2006-01-01,385
A01B  19/02,2006-01-01,853
A01B  19/04,2006-01-01,217
A01B  19/06,2006-01-01,708
A01B  19/08,2006-01-01,194
A01B  19/10,2006-01-01,189
A01B  21/00,2009-01-01,391
A01B  21/02,2006-01-01,158
A01B  21/04,2006-01-01,565
A01B  21/06,2006-01-01,192
A01B  21/08,2006-01-01,1866
A01B  23/00,2006-01-01,389
A01B  23/02,2006-01-01,1208
A01B  23/04,2006-01-01,1089
A01B  23/06,2006-01-01,656
A01B  25/00,2006-01-01,327
A01B  27/00,2006-01-01,643
A01B  29/00,2006-01-01,871
A01B  29/02,2006-01-01,285
A01B  29/04,2006-01-01,2059
A01B  29/06,2006-01-01,634
A01B  31/00,2006-01-01,758
A01B  33/00,2010-01-01,2099
A01B  33/02,2006-01-01,5958
A01B  33/04,2006-01-01,395
A01B  33/06,2006-01-01,2675
A01B  33/08,2006-01-01,9327
A01B  33/10,2006-01-01,3325
A01B  33/12,2006-01-01,4342
A01B  33/14,2006-01-01,2426
A01B  33/16,2006-01-01,1600
A01B  35/00,2009-01-01,3394
A01B  35/02,2006-01-01,799
A01B  35/04,2006-01-01,2000
A01B  35/06,2006-01-01,455
A01B  35/08,2006-01-01,464
A01B  35/10,2006-01-01,388
A01B  35/12,2006-01-01,216
A01B  35/14,2006-01-01,312
A01B  35/16,2006-01-01,685
A01B  35/18,2006-01-01,588
A01B  35/20,2006-01-01,605
A01B  35/22,2006-01-01,1180
A01B  35/24,2006-01-01,450
A01B  35/26,2006-01-01,934
A01B  35/28,2006-01-01,522
A01B  35/30,2006-01-01,285
A01B  35/32,2006-01-01,254
A01B  37/00,2006-01-01,461
A01B  39/00,2009-01-01,563
